,m,n,strain angle,twist angle,EST. atom number
0,7,4,89.43057474546887,10.989996325138192,224
1,9,5,89.78031985139852,8.589243775521073,360
2,11,6,89.94482394799182,7.044965134437786,528
3,12,6,90.52671445465771,6.463074627771927,576
4,12,7,89.53605376507525,6.463074627771927,672
5,13,7,90.0294754658714,5.96965292697576,728
6,14,7,90.4531196248241,5.546008768023066,784
7,14,8,89.7077215427149,5.546008768023066,896
8,15,8,90.07537419475106,5.178356115986914,960
9,15,9,89.49437160110693,5.178356115986914,1080
10,16,8,90.39742244645277,4.8563078642852116,1024
11,16,9,89.81641985280865,4.8563078642852116,1152
12,17,9,90.10083640597477,4.571891311119068,1224
13,17,10,89.63533411885135,4.571891311119068,1360
14,18,9,90.35384125330481,4.318886463789044,1296
15,18,10,89.88833896618138,4.318886463789044,1440
16,18,11,89.50705636917591,4.318886463789044,1584
17,19,9,90.58035743317052,4.092370283923332,1368
18,19,10,90.1148551460471,4.092370283923332,1520
19,19,11,89.73357254904163,4.092370283923332,1672
20,19,12,89.41557617211942,4.092370283923332,1824
21,20,10,90.31882953132612,3.8883958986442972,1600
22,20,11,89.93754693432066,3.8883958986442972,1760
23,20,12,89.61955055739845,3.8883958986442972,1920
24,21,10,90.50346302390214,3.7037624060682894,1680
25,21,11,90.12218042689666,3.7037624060682894,1848
26,21,12,89.80418404997445,3.7037624060682894,2016
27,21,13,89.53494029191808,3.7037624060682894,2184
28,22,11,90.29009602722317,3.5358468057417842,1936
29,22,12,89.97209965030096,3.5358468057417842,2112
30,22,13,89.70285589224457,3.5358468057417842,2288
31,22,14,89.4719610545326,3.5358468057417842,2464
32,23,11,90.4434634750466,3.3824793579183488,2024
33,23,12,90.1254670981244,3.3824793579183488,2208
34,23,13,89.85622334006803,3.3824793579183488,2392
35,23,14,89.62532850235604,3.3824793579183488,2576
36,23,15,89.42514024680898,3.3824793579183488,2760
37,24,11,90.58409299910979,3.2418498338551713,2112
38,24,12,90.26609662218758,3.2418498338551713,2304
39,24,13,89.99685286413118,3.2418498338551713,2496
40,24,14,89.76595802641921,3.2418498338551713,2688
41,24,15,89.56576977087217,3.2418498338551713,2880
42,25,12,90.39551036794094,3.1124360881018136,2400
43,25,13,90.12626660988455,3.1124360881018136,2600
44,25,14,89.89537177217257,3.1124360881018136,2800
45,25,15,89.69518351662552,3.1124360881018136,3000
46,25,16,89.51996233141377,3.1124360881018136,3200
47,26,12,90.5149974617333,2.9929489943094487,2496
48,26,13,90.24575370367691,2.9929489943094487,2704
49,26,14,90.01485886596494,2.9929489943094487,2912
50,26,15,89.81467061041789,2.9929489943094487,3120
51,26,16,89.63944942520612,2.9929489943094487,3328
52,26,17,89.48480146020239,2.9929489943094487,3536
53,27,13,90.35641316247343,2.882289535512925,2808
54,27,14,90.12551832476146,2.882289535512925,3024
55,27,15,89.9253300692144,2.882289535512925,3240
56,27,16,89.75010888400266,2.882289535512925,3456
57,27,17,89.59546091899891,2.882289535512925,3672
58,27,18,89.45796565777108,2.882289535512925,3888
59,28,13,90.45918766564989,2.779515032336489,2912
60,28,14,90.22829282793789,2.779515032336489,3136
61,28,15,90.02810457239084,2.779515032336489,3360
62,28,16,89.85288338717909,2.779515032336489,3584
63,28,17,89.69823542217533,2.779515032336489,3808
64,28,18,89.56074016094752,2.779515032336489,4032
65,28,19,89.43769517362264,2.779515032336489,4256
66,29,13,90.55489037972144,2.6838123182649216,3016
67,29,14,90.32399554200944,2.6838123182649216,3248
68,29,15,90.12380728646242,2.6838123182649216,3480
69,29,16,89.94858610125065,2.6838123182649216,3712
70,29,17,89.79393813624691,2.6838123182649216,3944
71,29,18,89.6564428750191,2.6838123182649216,4176
72,29,19,89.5333978876942,2.6838123182649216,4408
73,29,20,89.42263986946716,2.6838123182649216,4640
74,30,14,90.41333160913445,2.5944762511399357,3360
75,30,15,90.2131433535874,2.5944762511399357,3600
76,30,16,90.03792216837564,2.5944762511399357,3840
77,30,17,89.8832742033719,2.5944762511399357,4080
78,30,18,89.74577894214407,2.5944762511399357,4320
79,30,19,89.6227339548192,2.5944762511399357,4560
80,30,20,89.51197593659215,2.5944762511399357,4800
81,30,21,89.41175270509255,2.5944762511399357,5040
82,31,14,90.4969154973212,2.510892362953186,3472
83,31,15,90.29672724177414,2.510892362953186,3720
84,31,16,90.12150605656238,2.510892362953186,3968
85,31,17,89.96685809155865,2.510892362953186,4216
86,31,18,89.82936283033082,2.510892362953186,4464
87,31,19,89.70631784300595,2.510892362953186,4712
88,31,20,89.5955598247789,2.510892362953186,4960
89,31,21,89.4953365932793,2.510892362953186,5208
90,31,22,89.40421388908258,2.510892362953186,5456
91,32,14,90.57528511266023,2.4325227476141493,3584
92,32,15,90.37509685711316,2.4325227476141493,3840
93,32,16,90.19987567190144,2.4325227476141493,4096
94,32,17,90.04522770689769,2.4325227476141493,4352
95,32,18,89.90773244566986,2.4325227476141493,4608
96,32,19,89.78468745834499,2.4325227476141493,4864
97,32,20,89.67392944011793,2.4325227476141493,5120
98,32,21,89.57370620861835,2.4325227476141493,5376
99,32,22,89.48258350442163,2.4325227476141493,5632
100,33,15,90.44872510137488,2.3588945033524547,3960
101,33,16,90.27350391616312,2.3588945033524547,4224
102,33,17,90.11885595115939,2.3588945033524547,4488
103,33,18,89.98136068993156,2.3588945033524547,4752
104,33,19,89.85831570260667,2.3588945033524547,5016
105,33,20,89.74755768437963,2.3588945033524547,5280
106,33,21,89.64733445288003,2.3588945033524547,5544
107,33,22,89.55621174868332,2.3588945033524547,5808
108,33,23,89.47300428130555,2.3588945033524547,6072
109,34,15,90.51802939841008,2.2895902063172504,4080
110,34,16,90.34280821319831,2.2895902063172504,4352
111,34,17,90.18816024819459,2.2895902063172504,4624
112,34,18,90.05066498696677,2.2895902063172504,4896
113,34,19,89.92761999964188,2.2895902063172504,5168
114,34,20,89.81686198141485,2.2895902063172504,5440
115,34,21,89.71663874991525,2.2895902063172504,5712
116,34,22,89.62551604571853,2.2895902063172504,5984
117,34,23,89.54230857834075,2.2895902063172504,6256
118,34,24,89.46602826714407,2.2895902063172504,6528
119,35,15,90.58337959376556,2.224240010961767,4200
120,35,16,90.4081584085538,2.224240010961767,4480
121,35,17,90.25351044355007,2.224240010961767,4760
122,35,18,90.11601518232224,2.224240010961767,5040
123,35,19,89.99297019499737,2.224240010961767,5320
124,35,20,89.88221217677032,2.224240010961767,5600
125,35,21,89.78198894527074,2.224240010961767,5880
126,35,22,89.69086624107402,2.224240010961767,6160
127,35,23,89.60765877369624,2.224240010961767,6440
128,35,24,89.53137846249956,2.224240010961767,6720
129,35,25,89.4611950710203,2.224240010961767,7000
130,36,16,90.46988335728143,2.1625150622341436,4608
131,36,17,90.3152353922777,2.1625150622341436,4896
132,36,18,90.17774013104987,2.1625150622341436,5184
133,36,19,90.054695143725,2.1625150622341436,5472
134,36,20,89.94393712549795,2.1625150622341436,5760
135,36,21,89.84371389399834,2.1625150622341436,6048
136,36,22,89.75259118980165,2.1625150622341436,6336
137,36,23,89.66938372242386,2.1625150622341436,6624
138,36,24,89.59310341122718,2.1625150622341436,6912
139,36,25,89.52292001974791,2.1625150622341436,7200
140,36,26,89.45813085508061,2.1625150622341436,7488
141,37,16,90.5282764471283,2.1041219723872655,4736
142,37,17,90.37362848212457,2.1041219723872655,5032
143,37,18,90.23613322089675,2.1041219723872655,5328
144,37,19,90.11308823357187,2.1041219723872655,5624
145,37,20,90.00233021534483,2.1041219723872655,5920
146,37,21,89.90210698384523,2.1041219723872655,6216
147,37,22,89.81098427964851,2.1041219723872655,6512
148,37,23,89.72777681227073,2.1041219723872655,6808
149,37,24,89.65149650107405,2.1041219723872655,7104
150,37,25,89.5813131095948,2.1041219723872655,7400
151,37,26,89.51652394492748,2.1041219723872655,7696
152,37,27,89.4565302773654,2.1041219723872655,7992
153,37,28,89.40081880380161,2.1041219723872655,8288
154,38,16,90.58360025248086,2.048798167034709,4864
155,38,17,90.42895228747712,2.048798167034709,5168
156,38,18,90.29145702624929,2.048798167034709,5472
157,38,19,90.16841203892442,2.048798167034709,5776
158,38,20,90.05765402069737,2.048798167034709,6080
159,38,21,89.95743078919779,2.048798167034709,6384
160,38,22,89.86630808500107,2.048798167034709,6688
161,38,23,89.78310061762329,2.048798167034709,6992
162,38,24,89.70682030642661,2.048798167034709,7296
163,38,25,89.63663691494736,2.048798167034709,7600
164,38,26,89.57184775028004,2.048798167034709,7904
165,38,27,89.51185408271796,2.048798167034709,8208
166,38,28,89.45614260915418,2.048798167034709,8512
167,38,29,89.40427074517972,2.048798167034709,8816
168,39,17,90.48144250951944,1.996307944992402,5304
169,39,18,90.34394724829161,1.996307944992402,5616
170,39,19,90.22090226096672,1.996307944992402,5928
171,39,20,90.1101442427397,1.996307944992402,6240
172,39,21,90.0099210112401,1.996307944992402,6552
173,39,22,89.91879830704339,1.996307944992402,6864
174,39,23,89.8355908396656,1.996307944992402,7176
175,39,24,89.75931052846892,1.996307944992402,7488
176,39,25,89.68912713698965,1.996307944992402,7800
177,39,26,89.62433797232234,1.996307944992402,8112
178,39,27,89.56434430476027,1.996307944992402,8424
179,39,28,89.50863283119648,1.996307944992402,8736
180,39,29,89.45676096722202,1.996307944992402,9048
181,39,30,89.40834507619361,1.996307944992402,9360
182,40,17,90.53131132709473,1.946439127417111,5440
183,40,18,90.3938160658669,1.946439127417111,5760
184,40,19,90.27077107854203,1.946439127417111,6080
185,40,20,90.16001306031498,1.946439127417111,6400
186,40,21,90.0597898288154,1.946439127417111,6720
187,40,22,89.96866712461866,1.946439127417111,7040
188,40,23,89.88545965724089,1.946439127417111,7360
189,40,24,89.8091793460442,1.946439127417111,7680
190,40,25,89.73899595456496,1.946439127417111,8000
191,40,26,89.67420678989764,1.946439127417111,8320
192,40,27,89.61421312233556,1.946439127417111,8640
193,40,28,89.55850164877178,1.946439127417111,8960
194,40,29,89.50662978479733,1.946439127417111,9280
195,40,30,89.4582138937689,1.946439127417111,9600
196,40,31,89.41291979079021,1.946439127417111,9920
197,41,17,90.57875025855779,1.8990001959540352,5576
198,41,18,90.44125499732998,1.8990001959540352,5904
199,41,19,90.31821001000509,1.8990001959540352,6232
200,41,20,90.20745199177804,1.8990001959540352,6560
201,41,21,90.10722876027846,1.8990001959540352,6888
202,41,22,90.01610605608174,1.8990001959540352,7216
203,41,23,89.93289858870396,1.8990001959540352,7544
204,41,24,89.8566182775073,1.8990001959540352,7872
205,41,25,89.78643488602802,1.8990001959540352,8200
206,41,26,89.72164572136072,1.8990001959540352,8528
207,41,27,89.66165205379865,1.8990001959540352,8856
208,41,28,89.60594058023484,1.8990001959540352,9184
209,41,29,89.55406871626039,1.8990001959540352,9512
210,41,30,89.50565282523196,1.8990001959540352,9840
211,41,31,89.46035872225328,1.8990001959540352,10168
212,41,32,89.41789395622568,1.8990001959540352,10496
213,42,18,90.48643735464256,1.8538178386414355,6048
214,42,19,90.3633923673177,1.8538178386414355,6384
215,42,20,90.25263434909064,1.8538178386414355,6720
216,42,21,90.15241111759104,1.8538178386414355,7056
217,42,22,90.06128841339435,1.8538178386414355,7392
218,42,23,89.97808094601656,1.8538178386414355,7728
219,42,24,89.90180063481988,1.8538178386414355,8064
220,42,25,89.83161724334063,1.8538178386414355,8400
221,42,26,89.76682807867331,1.8538178386414355,8736
222,42,27,89.70683441111123,1.8538178386414355,9072
223,42,28,89.65112293754746,1.8538178386414355,9408
224,42,29,89.59925107357299,1.8538178386414355,9744
225,42,30,89.55083518254456,1.8538178386414355,10080
226,42,31,89.50554107956589,1.8538178386414355,10416
227,42,32,89.4630763135383,1.8538178386414355,10752
228,42,33,89.42318385067712,1.8538178386414355,11088
229,43,18,90.52952035589742,1.8107348373865995,6192
230,43,19,90.40647536857253,1.8107348373865995,6536
231,43,20,90.2957173503455,1.8107348373865995,6880
232,43,21,90.1954941188459,1.8107348373865995,7224
233,43,22,90.10437141464918,1.8107348373865995,7568
234,43,23,90.02116394727139,1.8107348373865995,7912
235,43,24,89.94488363607472,1.8107348373865995,8256
236,43,25,89.87470024459547,1.8107348373865995,8600
237,43,26,89.80991107992814,1.8107348373865995,8944
238,43,27,89.74991741236607,1.8107348373865995,9288
239,43,28,89.69420593880228,1.8107348373865995,9632
240,43,29,89.64233407482783,1.8107348373865995,9976
241,43,30,89.5939181837994,1.8107348373865995,10320
242,43,31,89.54862408082072,1.8107348373865995,10664
243,43,32,89.50615931479312,1.8107348373865995,11008
244,43,33,89.46626685193195,1.8107348373865995,11352
245,43,34,89.42871987261557,1.8107348373865995,11696
246,44,18,90.5706469504609,1.7696082428231141,6336
247,44,19,90.44760196313601,1.7696082428231141,6688
248,44,20,90.33684394490898,1.7696082428231141,7040
249,44,21,90.23662071340938,1.7696082428231141,7392
250,44,22,90.14549800921266,1.7696082428231141,7744
251,44,23,90.06229054183488,1.7696082428231141,8096
252,44,24,89.9860102306382,1.7696082428231141,8448
253,44,25,89.91582683915895,1.7696082428231141,8800
254,44,26,89.85103767449164,1.7696082428231141,9152
255,44,27,89.79104400692955,1.7696082428231141,9504
256,44,28,89.73533253336576,1.7696082428231141,9856
257,44,29,89.68346066939131,1.7696082428231141,10208
258,44,30,89.6350447783629,1.7696082428231141,10560
259,44,31,89.5897506753842,1.7696082428231141,10912
260,44,32,89.5472859093566,1.7696082428231141,11264
261,44,33,89.50739344649544,1.7696082428231141,11616
262,44,34,89.46984646717905,1.7696082428231141,11968
263,44,35,89.43444405375699,1.7696082428231141,12320
264,44,36,89.40100759629009,1.7696082428231141,12672
265,45,19,90.48690241399505,1.7303077919640664,6840
266,45,20,90.37614439576802,1.7303077919640664,7200
267,45,21,90.27592116426842,1.7303077919640664,7560
268,45,22,90.18479846007173,1.7303077919640664,7920
269,45,23,90.10159099269393,1.7303077919640664,8280
270,45,24,90.02531068149725,1.7303077919640664,8640
271,45,25,89.955127290018,1.7303077919640664,9000
272,45,26,89.89033812535068,1.7303077919640664,9360
273,45,27,89.83034445778861,1.7303077919640664,9720
274,45,28,89.77463298422481,1.7303077919640664,10080
275,45,29,89.72276112025037,1.7303077919640664,10440
276,45,30,89.67434522922194,1.7303077919640664,10800
277,45,31,89.62905112624324,1.7303077919640664,11160
278,45,32,89.58658636021566,1.7303077919640664,11520
279,45,33,89.54669389735449,1.7303077919640664,11880
280,45,34,89.50914691803811,1.7303077919640664,12240
281,45,35,89.47374450461602,1.7303077919640664,12600
282,45,36,89.44030804714913,1.7303077919640664,12960
283,45,37,89.4086782314157,1.7303077919640664,13320
284,46,19,90.52449567416168,1.6927145317974326,6992
285,46,20,90.41373765593464,1.6927145317974326,7360
286,46,21,90.31351442443506,1.6927145317974326,7728
287,46,22,90.22239172023833,1.6927145317974326,8096
288,46,23,90.13918425286056,1.6927145317974326,8464
289,46,24,90.06290394166389,1.6927145317974326,8832
290,46,25,89.99272055018463,1.6927145317974326,9200
291,46,26,89.92793138551731,1.6927145317974326,9568
292,46,27,89.86793771795524,1.6927145317974326,9936
293,46,28,89.81222624439145,1.6927145317974326,10304
294,46,29,89.760354380417,1.6927145317974326,10672
295,46,30,89.71193848938857,1.6927145317974326,11040
296,46,31,89.66664438640989,1.6927145317974326,11408
297,46,32,89.6241796203823,1.6927145317974326,11776
298,46,33,89.58428715752112,1.6927145317974326,12144
299,46,34,89.54674017820473,1.6927145317974326,12512
300,46,35,89.51133776478265,1.6927145317974326,12880
301,46,36,89.47790130731578,1.6927145317974326,13248
302,46,37,89.44627149158234,1.6927145317974326,13616
303,46,38,89.41630576220908,1.6927145317974326,13984
304,47,19,90.56049058773357,1.6567196182255786,7144
305,47,20,90.44973256950652,1.6567196182255786,7520
306,47,21,90.34950933800692,1.6567196182255786,7896
307,47,22,90.2583866338102,1.6567196182255786,8272
308,47,23,90.17517916643241,1.6567196182255786,8648
309,47,24,90.09889885523573,1.6567196182255786,9024
310,47,25,90.02871546375648,1.6567196182255786,9400
311,47,26,89.96392629908917,1.6567196182255786,9776
312,47,27,89.90393263152708,1.6567196182255786,10152
313,47,28,89.84822115796331,1.6567196182255786,10528
314,47,29,89.79634929398885,1.6567196182255786,10904
315,47,30,89.74793340296043,1.6567196182255786,11280
316,47,31,89.70263929998173,1.6567196182255786,11656
317,47,32,89.66017453395413,1.6567196182255786,12032
318,47,33,89.62028207109297,1.6567196182255786,12408
319,47,34,89.58273509177658,1.6567196182255786,12784
320,47,35,89.54733267835451,1.6567196182255786,13160
321,47,36,89.51389622088763,1.6567196182255786,13536
322,47,37,89.48226640515419,1.6567196182255786,13912
323,47,38,89.45230067578093,1.6567196182255786,14288
324,47,39,89.42387108930954,1.6567196182255786,14664
325,48,19,90.59498694112209,1.622223264837049,7296
326,48,20,90.48422892289506,1.622223264837049,7680
327,48,21,90.38400569139546,1.622223264837049,8064
328,48,22,90.29288298719874,1.622223264837049,8448
329,48,23,90.20967551982095,1.622223264837049,8832
330,48,24,90.13339520862426,1.622223264837049,9216
331,48,25,90.06321181714502,1.622223264837049,9600
332,48,26,89.9984226524777,1.622223264837049,9984
333,48,27,89.93842898491562,1.622223264837049,10368
334,48,28,89.88271751135183,1.622223264837049,10752
335,48,29,89.83084564737737,1.622223264837049,11136
336,48,30,89.78242975634896,1.622223264837049,11520
337,48,31,89.73713565337026,1.622223264837049,11904
338,48,32,89.69467088734267,1.622223264837049,12288
339,48,33,89.6547784244815,1.622223264837049,12672
340,48,34,89.61723144516512,1.622223264837049,13056
341,48,35,89.58182903174304,1.622223264837049,13440
342,48,36,89.54839257427615,1.622223264837049,13824
343,48,37,89.51676275854273,1.622223264837049,14208
344,48,38,89.48679702916947,1.622223264837049,14592
345,48,39,89.45836744269806,1.622223264837049,14976
346,48,40,89.43135884241615,1.622223264837049,15360
347,48,41,89.40566730006908,1.622223264837049,15744
348,49,20,90.51731836757862,1.5891338201534706,7840
349,49,21,90.41709513607903,1.5891338201534706,8232
350,49,22,90.3259724318823,1.5891338201534706,8624
351,49,23,90.24276496450453,1.5891338201534706,9016
352,49,24,90.16648465330783,1.5891338201534706,9408
353,49,25,90.09630126182861,1.5891338201534706,9800
354,49,26,90.03151209716128,1.5891338201534706,10192
355,49,27,89.9715184295992,1.5891338201534706,10584
356,49,28,89.91580695603541,1.5891338201534706,10976
357,49,29,89.86393509206097,1.5891338201534706,11368
358,49,30,89.81551920103253,1.5891338201534706,11760
359,49,31,89.77022509805384,1.5891338201534706,12152
360,49,32,89.72776033202625,1.5891338201534706,12544
361,49,33,89.68786786916507,1.5891338201534706,12936
362,49,34,89.6503208898487,1.5891338201534706,13328
363,49,35,89.61491847642662,1.5891338201534706,13720
364,49,36,89.58148201895973,1.5891338201534706,14112
365,49,37,89.5498522032263,1.5891338201534706,14504
366,49,38,89.51988647385303,1.5891338201534706,14896
367,49,39,89.49145688738164,1.5891338201534706,15288
368,49,40,89.46444828709973,1.5891338201534706,15680
369,49,41,89.43875674475265,1.5891338201534706,16072
370,49,42,89.41428822469595,1.5891338201534706,16464
371,50,20,90.54908523232879,1.557366955403302,8000
372,50,21,90.4488620008292,1.557366955403302,8400
373,50,22,90.35773929663247,1.557366955403302,8800
374,50,23,90.2745318292547,1.557366955403302,9200
375,50,24,90.19825151805802,1.557366955403302,9600
376,50,25,90.12806812657878,1.557366955403302,10000
377,50,26,90.06327896191145,1.557366955403302,10400
378,50,27,90.00328529434937,1.557366955403302,10800
379,50,28,89.94757382078558,1.557366955403302,11200
380,50,29,89.89570195681112,1.557366955403302,11600
381,50,30,89.8472860657827,1.557366955403302,12000
382,50,31,89.80199196280401,1.557366955403302,12400
383,50,32,89.75952719677642,1.557366955403302,12800
384,50,33,89.71963473391526,1.557366955403302,13200
385,50,34,89.68208775459887,1.557366955403302,13600
386,50,35,89.64668534117679,1.557366955403302,14000
387,50,36,89.6132488837099,1.557366955403302,14400
388,50,37,89.58161906797648,1.557366955403302,14800
389,50,38,89.55165333860322,1.557366955403302,15200
390,50,39,89.5232237521318,1.557366955403302,15600
391,50,40,89.4962151518499,1.557366955403302,16000
392,50,41,89.47052360950282,1.557366955403302,16400
393,50,42,89.44605508944612,1.557366955403302,16800
394,50,43,89.42272429905792,1.557366955403302,17200
395,50,44,89.40045369580352,1.557366955403302,17600
396,51,20,90.57960724004909,1.526844947683012,8160
397,51,21,90.47938400854947,1.526844947683012,8568
398,51,22,90.38826130435275,1.526844947683012,8976
